501203,12
501203,19
501204,14
501204,19
501205,11
501205,18
501206,4
501206,12
501207,9
501207,13
501208,1
501208,15
501209,6
501209,16
501210,5
501210,8
501211,1
501211,18
501212,2
501212,20
598003,1
598003,3
598004,1
598004,17
598005,2
598005,17
598006,4
598006,15
598007,5
598007,18
598008,1
598008,4
598010,1
598010,19
598011,1
598011,19
598012,20
598012,16
598013,4
598013,6
829710,6
829710,15
829712,6
829712,20
829714,10
829714,19
829716,9
829716,12
829718,1
829718,18
829720,1
829720,13
829722,6
829722,17
829724,4
829724,2
829726,1
829726,19
829728,9
829728,1
1082591,2
1082591,15
1082592,7
1082592,20
1082593,9
1082593,7
1082594,1
1082594,20
1082595,15
1082595,13
1082596,1
1082596,3
1082597,9
1082597,20
1082598,4
1082598,18
1082599,17
1082599,20
1082600,1
1082600,6
