829722,2,18
598007,1,6
829712,2,20
829716,2,16
829714,1,14
829722,1,16
598006,1,15
1082599,1,19
598007,2,15
501208,1,15
598011,2,19
598010,2,14
598011,1,13
598006,2,17
829716,2,20
598011,1,20
598004,1,20
829712,1,1
829722,2,16
501203,1,6
1082591,2,3
598010,2,1
501208,1,18
829722,2,15
598011,1,15
598011,1,9
1082595,1,16
829716,1,12
598011,1,12
598004,1,11
1082599,2,13
829716,1,13
1082595,1,13
598004,2,17
829712,2,4
598010,2,18
829716,2,15
598007,2,4
1082591,1,18
598007,1,20
501203,1,20
829716,1,20
598007,2,18
829714,1,17
598011,2,11
829722,1,3
598011,1,19
598007,1,19
1082599,1,18
1082591,2,10
1082599,1,20
829716,1,18
598011,1,6
598011,1,7
1082595,1,14
829714,1,19
1082591,2,8
829722,1,20
829716,1,7
1082591,1,2
501203,2,19
1082591,1,6
829716,1,3
1082595,2,13
598011,2,10
1082591,1,20
1082599,1,6
501203,1,16
1082591,1,13
1082591,2,11
829722,2,19
598010,2,13
1082599,1,12
598006,1,16
598010,1,19
598010,1,15
501208,2,15
598011,2,5
501203,2,4
829712,1,20
829722,2,17
829714,1,6
598004,1,18
501208,2,17
1082599,1,3
598005,1,17
1082591,1,15
1082591,2,4
